,Date,Open,High,Low,Close,WbtcVolume,Market cap,WbtcMean
1,24-Apr-21,51145.5,51210.34,48813.16,50092.58,169650614,7823790520,50619.04
2,23-Apr-21,51646.9,52133.55,47867.22,51133.24,333407802,7986327190,51390.07
3,22-Apr-21,54053.55,55433.91,50763.75,51667.88,333611918,8051756135,52860.715
4,21-Apr-21,56543.66,56765.9,53789.85,54024.75,211209162,8338019954,55284.205
5,20-Apr-21,55781.01,57161.39,53583.51,56477.14,227680971,8688290256,56129.075
6,19-Apr-21,56211.65,57292.92,54362,55744.01,150640864,8561578053,55977.83
7,18-Apr-21,60715.76,61044.15,53254.54,56190.56,318085370,8630162231,58453.16
8,17-Apr-21,61617.8,62751.49,60345.03,60753.67,105260446,9027351937,61185.735
9,16-Apr-21,63209.57,63560.32,60185.93,61647.08,183932110,9160103305,62428.325
10,15-Apr-21,63148.19,63891.91,62143.11,63187.94,185039834,9401623511,63168.065
11,14-Apr-21,63446.94,64796.44,61732.71,63127.86,236040575,9392684208,63287.4
12,13-Apr-21,59913.6,63638.73,59913.6,63436.58,184866416,9311871590,61675.09
13,12-Apr-21,60153.44,61076.34,59653.47,59927.62,216409420,8746475743,60040.53
14,11-Apr-21,59747.7,60700.82,59325.78,60154.7,107817288,8779619597,59951.2
15,10-Apr-21,58275.61,61002.1,58094.27,59746.69,147832104,8720068994,59011.15
16,9-Apr-21,58230.5,58812.3,57848.25,58269.93,163315562,8504535438,58250.215
17,8-Apr-21,56172.81,58235.68,55955.24,58232.91,205536182,8324520518,57202.86
18,7-Apr-21,58016.67,58311.05,55585.4,56272.28,156358123,7968315490,57144.475
19,6-Apr-21,58672.91,59211.91,57467.48,58027.45,119098898,8216852440,58350.18
20,5-Apr-21,58577.95,59281.54,57188.37,58570.26,114268579,8235145408,58574.105
21,4-Apr-21,57538.13,58887.8,57148.76,58592.26,106171154,8238238576,58065.195
22,3-Apr-21,59401.19,60157.79,57554.1,57611.91,186726371,8100398989,58506.55
23,2-Apr-21,59155.04,60132.73,58707.02,59351.16,193733026,8315281448,59253.1
24,1-Apr-21,59037.64,59648.09,58375.65,59071.53,160744443,8276105045,59054.585
25,31-Mar-21,58864.39,59798.78,57739.08,59067.01,137746620,8275470968,58965.7
26,30-Mar-21,57663.65,59375.44,57289.29,58864.74,163303603,8247131981,58264.195
27,29-Mar-21,55948.78,59334,55209.91,57659.2,145958952,8049417117,56803.99
28,28-Mar-21,55960.7,56638.19,55092.84,55948.61,71339737,7721106600,55954.655
29,27-Mar-21,55029.39,56484.47,54234.7,55962.3,90560014,7722995497,55495.845
30,26-Mar-21,51679.19,55028.76,51651.84,55028.76,120110528,7594164638,53353.975
31,25-Mar-21,52774.75,53255.14,50844.94,51704.32,138305703,7135378967,52239.535
32,24-Mar-21,54695.87,57103.72,52580,52814.37,132865116,7288570232,53755.12
33,23-Mar-21,54464.16,55857.1,53366.24,54722.18,179910047,7532712084,54593.17
34,22-Mar-21,57521.2,58261.67,54320.49,54507.57,103027601,7489495484,56014.385
35,21-Mar-21,58298.51,58846.29,56013.25,57493.49,114036237,7899769967,57896
36,20-Mar-21,58283.48,59931.86,58214,58320.95,86910937,8013465295,58302.215
37,19-Mar-21,57880.76,59401.74,56687.59,58265,101726469,7947541430,58072.88
38,18-Mar-21,58964.08,59884.82,56210.34,57878.7,93266520,7894848651,58421.39
39,17-Mar-21,56568.71,58943.05,54884.41,58921.4,101570695,8037076553,57745.055
40,16-Mar-21,55740.04,56530.87,53608.9,56518.73,125004524,7709344151,56129.385
41,15-Mar-21,59361.05,60437.67,55323.36,55848.68,166051445,7466707763,57604.865
42,14-Mar-21,61047.84,61423.58,59399.41,59399.41,89181344,7941423552,60223.625
43,13-Mar-21,57245.65,61496.25,56210.43,61086.44,172805732,8166971609,59166.045
44,12-Mar-21,57791.32,58015.35,55314.82,57230.42,193551130,7651439497,57510.87
45,11-Mar-21,56088.09,58100.2,54503.44,57778.8,162494736,7667005746,56933.445
46,10-Mar-21,54659.31,57162.1,53384.32,56132.18,237198928,7392402644,55395.745
47,9-Mar-21,52028.81,54635.77,52028.81,54635.77,243270042,7130949512,53332.29
48,8-Mar-21,51272.87,52171.05,49704.14,52028.68,229580403,6712660631,51650.775
49,7-Mar-21,48986.68,51488.18,48986.68,51406.18,389412623,6434480452,50196.43
50,6-Mar-21,48561.88,49178.05,47202.8,48975.89,161497498,6110701716,48768.885
51,5-Mar-21,48432.32,49298.29,46385.65,48602.87,132872535,6064159654,48517.595
52,4-Mar-21,50572.47,51602.89,47678.53,48463.64,158892683,5998349355,49518.055
53,3-Mar-21,48273.1,52398.88,48174.87,50582.25,173200483,6260569297,49427.675
54,2-Mar-21,49525.58,50216.9,47227.39,48205.64,206370297,5949552528,48865.61
55,1-Mar-21,45305.53,49818.85,45163.75,49528.86,151039389,6112864378,47417.195
56,28-Feb-21,45966.78,46262.87,43527.6,45290.68,265578059,5589787066,45628.73
57,27-Feb-21,46198.04,48136.53,45195.28,45958.59,113794237,5672220786,46078.315
58,26-Feb-21,47162.15,48143.37,44393.16,46178.6,231656267,5699375336,46670.375
59,25-Feb-21,49431.16,51664.52,47041.73,47041.73,140040598,5805902599,48236.445
60,24-Feb-21,48628.87,51240,47226.89,49437.06,185311552,6101534585,49032.965
61,23-Feb-21,54197.86,54201.52,45310.73,48617.61,421085838,6000398257,51407.735
62,22-Feb-21,57536.83,57679.01,49187.29,54191.46,289375806,6689529412,55864.145
63,21-Feb-21,55885.91,58175.01,55687.78,57557.97,207543892,7105099798,56721.94
64,20-Feb-21,55764.25,57026.4,54813.85,55937.4,288211521,6905051989,55850.825
65,19-Feb-21,51636.72,56096.3,50897.42,55759.78,300753143,6883126134,53698.25
66,18-Feb-21,52156.57,52471.84,51010.08,51684.3,176702091,6377198372,51920.435
67,17-Feb-21,49108.39,52411.78,49086.25,52193.26,208553573,6580653104,50650.825
68,16-Feb-21,47939.3,50249.53,47285.29,49110.09,149734050,6191919130,48524.695
69,15-Feb-21,48680.14,48822.41,46101.66,47959.19,256309374,6102575518,48319.665
70,14-Feb-21,47140.4,49580.16,47097.34,48696.93,218263543,6196449242,47918.665
71,13-Feb-21,47474.89,47974,46355.72,47123.27,157231046,5996208523,47299.08
72,12-Feb-21,47718.48,48606.11,46715.03,47508.24,221820347,6045194257,47613.36
73,11-Feb-21,44847.65,48326.79,44231.77,47751.07,165467141,6076093317,46299.36
74,10-Feb-21,46541.82,47104.89,43997.09,44846.93,374607338,5693063486,45694.375
75,9-Feb-21,46360.89,47765.13,45319.5,46560.31,333536652,5895675934,46460.6
76,8-Feb-21,38868.84,46403.37,38313.28,46403.37,347643570,5643822878,42636.105
77,7-Feb-21,39324.56,39680.71,37571.73,38877.48,218504012,4728485253,39101.02
78,6-Feb-21,38243.41,40910.96,38227.55,39329.49,327162438,4761837540,38786.45
79,5-Feb-21,37005.03,38372.8,36762.31,38241.69,271285055,4564003305,37623.36
80,4-Feb-21,37584.32,38570.19,36418.87,36990.57,211137804,4394349611,37287.445
81,3-Feb-21,35521.33,37535.39,35473.59,37513.78,174051775,4414253258,36517.555
82,2-Feb-21,33694.23,35870.4,33577.73,35519.52,191029603,4179588027,34606.875
83,1-Feb-21,33077.79,34381.76,32442.14,33702.03,212151450,3942142013,33389.91
84,31-Jan-21,34386.09,34416.93,32411.92,33085.08,162374473,3836904892,33735.585
85,30-Jan-21,34281.76,34749.68,33258.83,34355.65,151934724,3994560767,34318.705
86,29-Jan-21,33976.11,38104.69,32146.03,34312.94,416503263,3970730614,34144.525
87,28-Jan-21,30447.17,33624.09,30103.31,33315.13,151667679,3855262161,31881.15
88,27-Jan-21,32656.68,32656.68,29482.5,30431.75,223371858,3504851900,31544.215
89,26-Jan-21,32302.09,32777.13,31089.88,32668.16,222989223,3762421329,32485.125
90,25-Jan-21,32227.19,34816.47,32154.32,32337.59,257151173,3724349613,32282.39
91,24-Jan-21,32087.22,33017,31160.51,32241.8,168851963,3639190853,32164.51
92,23-Jan-21,32935.52,33160.96,31592.88,32081.56,123203158,3621104185,32508.54
93,22-Jan-21,30770.31,33706.62,29051.79,32980.39,189634945,3704425041,31875.35
94,21-Jan-21,35501.14,35575.94,30371.61,30795.28,149940476,3458989341,33148.21
95,20-Jan-21,36129.08,36373.76,33613.89,35489.39,185211997,3966729307,35809.235
96,19-Jan-21,36624.39,37741.32,36143.05,36143.05,292297642,4027146935,36383.72
97,18-Jan-21,35920.47,37182.54,34945.54,36615.97,144620090,4059710711,36268.22
98,17-Jan-21,36217.52,36700.56,34092.01,35895.35,95244127,3979813464,36056.435
99,16-Jan-21,36685.22,37779.91,35557.77,36252.4,150140547,4019399854,36468.81
100,15-Jan-21,39108.09,39625.76,34859.93,36693.6,152645840,4064586954,37900.845
101,14-Jan-21,37327.32,39992.54,36863.41,39188.64,120693349,4340965241,38257.98
102,13-Jan-21,33938.24,37516.83,32565.46,37305.65,143404068,4316672160,35621.945
103,12-Jan-21,35333.43,36462.2,32806.33,33853.32,166092136,3917200038,34593.375
104,11-Jan-21,38308.45,38308.45,30595.71,35375.02,406742475,4093277249,36841.735
105,10-Jan-21,40235.96,41299.37,35872.39,38332.34,219986622,4435470995,39284.15
106,9-Jan-21,40551.34,41236.63,38936.06,40236.77,189095702,4655834345,40394.055
107,8-Jan-21,39426.38,41804.18,36785.3,40574.24,220638643,4694883672,40000.31
108,7-Jan-21,36670.41,39830.42,36536.71,39335.31,194236616,4551525647,38002.86
109,6-Jan-21,34017.35,36808.85,33567.03,36680.52,165477003,4244337477,35348.935
110,5-Jan-21,31969.33,34332.43,30231.42,33968.24,174003619,3930496685,32968.785
111,4-Jan-21,33058.94,33472.44,29309.83,31950.11,328249091,3696977230,32504.525
112,3-Jan-21,32150.02,34675.94,32053.54,33008.13,317864544,3819401683,32579.075
113,2-Jan-21,29356.07,33196.69,29105.27,32164.8,146756920,3721819349,30760.435
114,1-Jan-21,28963.73,29594.91,28788.14,29349.44,73396342,3396051534,29156.585
115,31-Dec-20,28783.94,29209.37,28171.77,28977.74,79888312,3353042008,28880.84
116,30-Dec-20,27180.79,28912.85,27180.79,28788.81,123464844,3331180693,27984.8
117,29-Dec-20,27009.37,27191.75,26088.07,27191.39,63528328,3146341800,27100.38
118,28-Dec-20,26251.33,27309.7,26144.67,27025.56,85432799,3127152496,26638.445
119,27-Dec-20,26430.34,28307.55,25881.49,26237.58,205112923,3035975344,26333.96
120,26-Dec-20,24710.17,26791.58,24493.03,26409.53,319855621,3055871538,25559.85
121,25-Dec-20,23723.17,24756.36,23432.06,24652.15,245056562,2852522978,24187.66
122,24-Dec-20,23239.85,23787.31,22711.79,23737.31,233651756,2746666823,23488.58
123,23-Dec-20,23819.03,24103.63,22620.24,23229.82,302059284,2687943987,23524.425
124,22-Dec-20,22693.02,23820.51,22362.49,23820.51,255415460,2756293648,23256.765
125,21-Dec-20,23464.13,24096.85,22059.63,22744.46,324697156,2631783368,23104.295
126,20-Dec-20,23830.73,24285.59,23116.62,23472,245227909,2715966897,23651.365
127,19-Dec-20,23145.15,24134.82,22827.59,23874.2,260391736,2762505571,23509.675
128,18-Dec-20,22822.35,23271.89,22380.17,23146.72,234608916,2678328570,22984.535
129,17-Dec-20,21354.07,23669.27,21249.62,22818.61,520064613,2640362802,22086.34
130,16-Dec-20,19433.47,21546.73,19309.95,21367.41,316269010,2472443378,20400.44
131,15-Dec-20,19269.53,19563.21,19066.11,19428.91,236613725,2248136965,19349.22
132,14-Dec-20,19168.21,19361.14,19037.35,19278.18,124186860,2217208654,19223.195
133,13-Dec-20,18788.05,19394.11,18734.58,19163.82,33774646,2204055978,18975.935
134,12-Dec-20,18031.76,18898.65,18031.76,18781.91,30423721,2160131277,18406.835
135,11-Dec-20,18248.13,18276.8,17624.47,18054.93,33151714,2095471438,18151.53
136,10-Dec-20,18538.73,18546.03,17955.33,18250.66,50541963,2136456509,18394.695
137,9-Dec-20,18322.69,18615.59,17696.62,18531.15,47079839,2181894715,18426.92
138,8-Dec-20,19183,19276.25,18258.6,18327.37,47260933,2175532279,18755.185
139,7-Dec-20,19376.77,19421.3,18913.56,19176.63,36065739,2290706061,19276.7
140,6-Dec-20,19146.09,19398.17,18898.44,19383.04,46017663,2334556266,19264.565
141,5-Dec-20,18661.82,19173.82,18541.43,19150.38,39530321,2306533639,18906.1
142,4-Dec-20,19463.29,19517.02,18642.21,18665.34,51030229,2248114074,19064.315
143,3-Dec-20,19220.92,19543.36,18921.15,19460.82,35210480,2333225039,19340.87
144,2-Dec-20,18810.31,19310.16,18391.22,19214,37902964,2303632752,19012.155
145,1-Dec-20,19640.56,19897.24,18270.35,18828.38,67345145,2257399044,19234.47
146,30-Nov-20,18177.11,19754.26,18177.11,19619.04,59384803,2390214222,18898.075
147,29-Nov-20,17735.65,18318.22,17613.05,18167.78,30394908,2231572045,17951.715
148,28-Nov-20,17065,17829.34,16884.71,17734.59,31889619,2178363397,17399.795
149,27-Nov-20,17132.16,17414.08,16533.41,17060.39,31860794,2095550255,17096.275
150,26-Nov-20,18690.26,18834.11,16361.61,17123.87,105088098,2103348252,17907.065
151,25-Nov-20,19146.72,19402.62,18510.59,18690.25,46247227,2320980155,18918.485
152,24-Nov-20,18353.29,19390.81,18132.56,19146.87,73582082,2377686828,18750.08
153,23-Nov-20,18398.17,18710.29,18077.96,18358.94,63596731,2285715719,18378.555
154,22-Nov-20,18601.53,18643.26,17679.14,18398.17,54634314,2286162966,18499.85
155,21-Nov-20,18623.14,18933.09,18450.06,18601.53,56474890,2311431779,18612.335
156,20-Nov-20,17788.12,18745.96,17762.51,18623.14,48202991,2314118069,18205.63
157,19-Nov-20,17793.18,18117.57,17369.56,17788.12,37703332,2210357252,17790.65
158,18-Nov-20,17649.51,18287.18,17326.5,17793.18,52851021,2210986516,17721.345
159,17-Nov-20,16738.51,17737.91,16552.53,17654.39,60513821,2193740325,17196.45
160,16-Nov-20,15887.68,16769.92,15791.45,16665.2,45133837,2070822758,16276.44
161,15-Nov-20,16040.61,16048.04,15687.93,15887.32,30272059,1974163274,15963.965
162,14-Nov-20,16237.53,16246.02,15743.78,16039.94,37320906,1993128660,16138.735
163,13-Nov-20,16226.76,16433.26,15955.08,16232.42,44128270,2012178426,16229.59
164,12-Nov-20,15697.65,16260.3,15541.64,16226.76,42817987,2002555322,15962.205
165,11-Nov-20,15239.79,15921.26,15239.29,15696.94,42636687,1937170498,15468.365
166,10-Nov-20,15294.24,15422.66,15114.19,15243.55,35116311,1881216944,15268.895
167,9-Nov-20,15452.81,15634.87,14892.33,15294.62,33923852,1887519843,15373.715
168,8-Nov-20,14837.1,15551.62,14738.8,15451.87,46508946,1906925822,15144.485
169,7-Nov-20,15537.33,15716.62,14598.21,14823.49,71532215,1829377020,15180.41
170,6-Nov-20,15509.47,15901.45,15298.7,15533.68,83618674,1917021744,15521.575
171,5-Nov-20,14066.75,15629.34,14057.19,15509.62,68840187,1909712140,14788.185
172,4-Nov-20,13913.53,14174.3,13529.33,14066.75,58804955,1720098483,13990.14
173,3-Nov-20,13432.17,13938.81,13266.4,13913.53,50883613,1701362248,13672.85
174,2-Nov-20,13649.2,13742.29,13182.79,13432.18,50708001,1588795003,13540.69
175,1-Nov-20,13715.4,13778.14,13539.87,13649.2,39127216,1606961708,13682.3
176,31-Oct-20,13503.27,13915.4,13285.31,13715.4,41984427,1614754749,13609.335
177,30-Oct-20,13413.61,13596.81,13129.81,13503.27,61576090,1582357110,13458.44
178,29-Oct-20,13225.35,13558.17,12987.98,13413.61,52507770,1567852212,13319.48
179,28-Oct-20,13617.29,13763.17,12919.98,13225.86,49794775,1555165526,13421.575
180,27-Oct-20,13054.63,13688.43,13023.87,13617.29,65442631,1555415940,13335.96
181,26-Oct-20,13030.18,13187.72,12838.52,13054.63,118997300,1491146975,13042.405
182,25-Oct-20,13106.41,13321.06,12927.93,13030.18,29331031,1446022505,13068.295
183,24-Oct-20,12914.28,13141.01,12875.36,13106.41,33157783,1454481668,13010.345
184,23-Oct-20,12959.27,13002.13,12717.31,12914.28,25690800,1433160677,12936.775
185,22-Oct-20,12861.89,13138.63,12722.78,12941.4,61938702,1436170036,12901.645
186,21-Oct-20,11919.94,13145.02,11904.82,12861.89,109014810,1380539969,12390.915
187,20-Oct-20,11747.08,12010.24,11690.29,11919.94,71542185,1272882545,11833.51
188,19-Oct-20,11505.17,11792.98,11419.73,11735.53,43620198,1240286231,11620.35
189,18-Oct-20,11361.11,11486.04,11347.86,11486.04,26674474,1207545502,11423.575
190,17-Oct-20,11327.04,11384.97,11209.29,11360.86,25669857,1194385021,11343.95
191,16-Oct-20,11502.37,11530.7,11189.41,11318.26,46631548,1189907184,11410.315
192,15-Oct-20,11428.5,11575.57,11291.77,11491.65,49672971,1208135588,11460.075
193,14-Oct-20,11427.36,11540.1,11305.9,11430.97,53897445,1201756410,11429.165
194,13-Oct-20,11538.25,11551.62,11324.86,11428.22,27532015,1144360094,11483.235
195,12-Oct-20,11375,11708.27,11245.25,11542.79,58802807,1132756183,11458.895
196,11-Oct-20,11299.76,11436.58,11291.25,11379.34,42016865,1089757802,11339.55
197,10-Oct-20,11064.52,11409.24,11062.26,11306.53,57034328,1082559562,11185.525
198,9-Oct-20,10941.51,11112.64,10855.62,11071.43,54536939,1060049777,11006.47
199,8-Oct-20,10672.88,10944.64,10561.9,10908.86,44709887,1038486424,10790.87
200,7-Oct-20,10612.54,10681.89,10572.31,10670.39,42211603,1005119079,10641.465
201,6-Oct-20,10801.83,10802.03,10549.71,10612.54,52828967,999669303,10707.185
202,5-Oct-20,10667.02,10798.87,10640.61,10798.55,38346744,1007321545,10732.785
203,4-Oct-20,10548.85,10701.18,10537.99,10667.02,34237287,995052319,10607.935
204,3-Oct-20,10573.44,10604.95,10511.52,10556.77,53202710,984767740,10565.105
205,2-Oct-20,10632,10670.3,10103.22,10573.44,64612886,978923923,10602.72
206,1-Oct-20,10790.28,10918.2,10474.11,10621.46,49435315,983369956,10705.87
207,30-Sep-20,10845.99,10850.33,10682.12,10779.26,56440834,991871034,10812.625
208,29-Sep-20,10761.24,10856.37,10654.16,10843.73,39214616,997803250,10802.485
209,28-Sep-20,10791.75,10952.85,10718.46,10761.22,49232595,979454391,10776.485
210,27-Sep-20,10740.41,10810.22,10644.02,10782.93,40488014,932424625,10761.67
211,26-Sep-20,10688.03,10779.91,10673.64,10756.71,63154441,930157481,10722.37
212,25-Sep-20,10740.36,10758.69,10593.73,10693.95,86512186,914040370,10717.155
213,24-Sep-20,10261.19,10778.39,10249.91,10738.43,99652190,876966943,10499.81
214,23-Sep-20,10539.97,10548.84,10211.26,10264.76,83262949,808451368,10402.365
215,22-Sep-20,10541.92,10617.08,10442.58,10539.12,43304623,820579122,10540.52
216,21-Sep-20,10968.46,11049.21,10500.58,10551.35,68364263,814147904,10759.905
217,20-Sep-20,11152.46,11152.46,10847.06,10967.94,56173115,844927646,11060.2
218,19-Sep-20,10949.25,11199.66,10882.96,11145.55,68399983,847580772,11047.4
219,18-Sep-20,10991.92,12287.97,10403.06,10949.36,80768057,804478048,10970.64
220,17-Sep-20,11031.11,11199.42,10772.06,10991.92,105306770,708608948,11011.515
221,16-Sep-20,10822.89,11151.15,10731.03,11031.11,43295302,644073532,10927
222,15-Sep-20,10700.85,10945.81,10644.77,10823.35,33204258,631943067,10762.1
223,14-Sep-20,10370.9,10933.15,10286.51,10700.85,25283442,608318325,10535.875
224,13-Sep-20,10473.92,10605.36,10322.77,10367.3,14182168,589357083,10420.61
225,12-Sep-20,10396.22,10552.31,10333.11,10473.92,19802587,581280007,10435.07
226,11-Sep-20,10388.97,10464.39,10152.62,10398.09,15878815,554725435,10393.53
227,10-Sep-20,10260.74,10640.61,10252.38,10381.27,30055012,532504332,10321.005
228,9-Sep-20,10143.91,10396.04,9947.83,10264.38,12951222,507271257,10204.145
229,8-Sep-20,10371.58,10726.6,9973.21,10146.91,15633080,482645257,10259.245
230,7-Sep-20,10300.03,10400.7,9924.06,10370.37,11551948,481404806,10335.2
231,6-Sep-20,10270.14,10415.8,10083.13,10299.87,11006771,459600487,10285.005
232,5-Sep-20,10550.38,10667.55,10113.83,10272.64,17450225,449604309,10411.51
233,4-Sep-20,10568.74,10697.53,10264.74,10548.82,10731020,437175780,10558.78
234,3-Sep-20,11524.24,11563.65,10481.24,10564.66,17753084,437832317,11044.45
235,2-Sep-20,11750.41,12039.31,11250.27,11495.74,9505340,449530258,11623.075
236,1-Sep-20,11847.08,12388.67,11650.43,11750.63,23768873,447751610,11798.855
237,31-Aug-20,11740.88,11936.54,11521.53,11845.59,23468332,417623883,11793.235
238,30-Aug-20,12340.87,12408.58,11528.6,11740.33,24144995,387508326,12040.6
239,29-Aug-20,11676.86,12299.79,11342.18,12299.79,8284789,398720103,11988.325
240,28-Aug-20,11478.05,11675.8,11372.75,11675.8,6860553,378492183,11576.925
241,27-Aug-20,11581,11618.48,11192.36,11479.18,5804633,360643818,11530.09
242,26-Aug-20,11458.64,11653.01,11303.09,11626.01,6719406,361538431,11542.325
243,25-Aug-20,11750.93,11890.87,11254.28,11449.23,3801412,356041214,11600.08
244,24-Aug-20,11619.61,11832.59,11482.66,11749.63,5319503,361859481,11684.62
